Date,Open,High,Low,Close,Volume,Adj Close
2016-05-05,4.94,4.94,4.88,4.9,470100,4.675791
2016-05-06,4.89,4.9,4.84,4.88,458000,4.656707
2016-05-09,4.88,4.92,4.88,4.89,512400,4.666249
2016-05-10,4.93,4.96,4.91,4.96,510300,4.733046
2016-05-11,4.94,4.96,4.89,4.9,328500,4.675791
2016-05-12,4.95,4.95,4.86,4.87,417600,4.647164
2016-05-13,4.87,4.93,4.85,4.86,371000,4.637622
2016-05-16,4.87,4.93,4.87,4.93,390400,4.704418
2016-05-17,4.89,4.93,4.87,4.89,401400,4.666249
2016-05-18,4.88,4.94,4.87,4.89,335500,4.666249
2016-05-19,4.87,4.9,4.86,4.9,546400,4.675791
2016-05-20,4.91,4.95,4.9,4.9,283400,4.675791
2016-05-23,4.9,4.94,4.9,4.91,274600,4.685333999999999
2016-05-24,4.94,5.02,4.94,5.01,515800,4.7807580000000005
2016-05-25,5.02,5.08,5.01,5.05,437100,4.818928
2016-05-26,5.07,5.07,5.02,5.05,388600,4.818928
2016-05-27,5.05,5.07,5.03,5.04,363400,4.809385
2016-05-31,5.06,5.08,5.03,5.05,174700,4.818928
2016-06-01,5.02,5.08,5.02,5.08,320700,4.847555000000001
2016-06-02,5.05,5.09,5.03,5.08,442900,4.847555000000001
2016-06-03,5.07,5.08,5.04,5.07,263000,4.838013
2016-06-06,5.08,5.11,5.07,5.11,233500,4.876182
2016-06-07,5.09,5.13,5.08,5.13,323000,4.895267
2016-06-08,5.13,5.14,5.11,5.12,302600,4.885725
2016-06-09,5.1,5.12,5.09,5.09,261200,4.857098000000001
2016-06-10,5.06,5.07,5.04,5.05,278800,4.818928
2016-06-13,5.02,5.05,4.99,4.99,204900,4.761673
2016-06-14,4.99,5.02,4.96,4.99,234700,4.761673
2016-06-15,5.0,5.02,4.97,4.98,297300,4.752130999999999
2016-06-16,4.95,4.98,4.93,4.97,519200,4.742588
2016-06-17,4.98,4.98,4.94,4.95,484900,4.723503
2016-06-20,5.0,5.03,4.98,4.98,579600,4.752130999999999
2016-06-21,4.98,5.01,4.98,5.0,338800,4.771216000000001
2016-06-22,5.0,5.03,4.97,4.98,398900,4.752130999999999
2016-06-23,5.02,5.07,5.01,5.04,549600,4.809385
2016-06-24,4.89,4.98,4.87,4.9,791100,4.675791
2016-06-27,4.86,4.87,4.77,4.8,1028600,4.580367
2016-06-28,4.82,4.86,4.81,4.86,483600,4.637622
2016-06-29,4.93,4.98,4.91,4.98,443900,4.752130999999999
2016-06-30,5.01,5.02,4.97,5.02,442800,4.7903
2016-07-01,5.01,5.06,5.01,5.03,262200,4.799843
2016-07-05,5.02,5.02,4.97,4.99,311800,4.761673
2016-07-06,4.98,5.01,4.97,4.98,335400,4.752130999999999
2016-07-07,5.0,5.03,4.98,5.0,279600,4.771216000000001
2016-07-08,5.06,5.08,5.05,5.06,388300,4.828469999999999
2016-07-11,5.09,5.12,5.08,5.08,373700,4.847555000000001
2016-07-12,5.14,5.16,5.13,5.14,247100,4.9048099999999994
2016-07-13,5.14,5.16,5.1,5.12,786300,4.885725
2016-07-14,5.18,5.21,5.14,5.16,685500,4.923894000000001
2016-07-15,5.18,5.18,5.12,5.14,522000,4.9048099999999994
2016-07-18,5.14,5.21,5.12,5.18,643400,4.942979
2016-07-19,5.17,5.19,5.14,5.19,483700,4.952522
2016-07-20,5.2,5.23,5.19,5.23,364300,4.990692
2016-07-21,5.24,5.26,5.2,5.21,618900,4.971607
2016-07-22,5.22,5.24,5.2,5.2,372600,4.962064
2016-07-25,5.22,5.23,5.19,5.23,442400,4.990692
2016-07-26,5.23,5.26,5.22,5.24,641400,5.000234
2016-07-27,5.16,5.17,5.12,5.13,1005300,5.01
2016-07-28,5.14,5.16,5.11,5.16,339200,5.0392980000000005
2016-07-29,5.16,5.19,5.15,5.18,389000,5.05883
2016-08-01,5.2,5.21,5.14,5.14,696100,5.019766000000001
2016-08-02,5.12,5.14,5.05,5.09,466200,4.970936
2016-08-03,5.1,5.13,5.09,5.12,268800,5.000234
2016-08-04,5.13,5.15,5.1,5.12,430800,5.000234
2016-08-05,5.14,5.17,5.13,5.17,499400,5.049065000000001
2016-08-08,5.18,5.18,5.15,5.16,528200,5.0392980000000005
2016-08-09,5.16,5.19,5.16,5.18,389900,5.05883
2016-08-10,5.19,5.19,5.15,5.17,371100,5.049065000000001
2016-08-11,5.16,5.2,5.16,5.18,433600,5.05883
2016-08-12,5.16,5.18,5.15,5.16,489700,5.0392980000000005
2016-08-15,5.17,5.21,5.17,5.18,396400,5.05883
2016-08-16,5.18,5.2,5.15,5.2,526200,5.0783629999999995
2016-08-17,5.18,5.22,5.15,5.2,426400,5.0783629999999995
2016-08-18,5.2,5.21,5.18,5.21,226300,5.088129
2016-08-19,5.2,5.22,5.18,5.2,196500,5.0783629999999995
2016-08-22,5.2,5.24,5.19,5.2,396600,5.0783629999999995
2016-08-23,5.24,5.27,5.2,5.2,664200,5.0783629999999995
2016-08-24,5.26,5.27,5.18,5.19,476300,5.0685970000000005
2016-08-25,5.2,5.23,5.16,5.16,264200,5.0392980000000005
2016-08-26,5.19,5.23,5.15,5.19,344400,5.0685970000000005
2016-08-29,5.19,5.23,5.19,5.21,252800,5.088129
2016-08-30,5.19,5.23,5.19,5.23,278100,5.107661
2016-08-31,5.19,5.22,5.18,5.2,188300,5.0783629999999995
2016-09-01,5.2,5.2,5.14,5.2,618500,5.0783629999999995
2016-09-02,5.22,5.23,5.2,5.21,306100,5.088129
2016-09-06,5.2,5.23,5.18,5.21,408700,5.088129
2016-09-07,5.2,5.24,5.2,5.21,289100,5.088129
